NAME,LONGITUDE,LATITUDE,CATEGORY,STATE,Elevation,LC_Type2,FLD_ELEV,FLD_ZONE,CFLD_RISKS,RFLD_RISKS,HRCN_RISKS
FMC Abilene,-99.73115355236851,32.470353,DC,TX,519.0,13,1735.46,Nan,0.0,12.798851719577351,3.454949152789254
Fresenius Dialysis Services Of Abilene South,-99.74783305536958,32.3747014845636,DC,TX,553.0,10,1735.46,Nan,0.0,14.041283012746572,2.9174333543224686
Renal Care Group - ALice,-98.04381435027969,27.759579946707802,DC,TX,55.0,10,198.73,Nan,0.0,32.24384268114938,9.13094513257743
Fresenius McAllen Valley Hemodialysis Center,-98.2080579154598,26.184690091897696,DC,TX,32.0,10,0.0,Nan,0.0,12.942125254743535,25.574886440927525
DaVita Floresville,-98.1679084662991,29.154419729095803,DC,TX,123.0,10,433.18,AE,0.0,50.52836836394384,9.062161516637511
South Texas Kidney Center,-98.043735721803,27.7627057888626,DC,TX,55.0,10,198.73,Nan,0.0,32.24384268114938,9.13094513257743
Mcallen Dialysis,-98.2091786914998,26.1838562861962,DC,TX,36.0,13,0.0,Nan,0.0,12.942125254743535,25.574886440927525
FMC - Floresville,-98.1448622778003,29.133593736626306,DC,TX,130.0,10,433.18,AE,0.0,29.64776721261784,6.7878616423977185
Fresenius - Alvin,-95.2425916807667,29.401212684344696,DC,TX,11.0,9,36.99,Nan,0.0,53.203915318024606,54.64867194810008
Mcallen Kidney Center,-98.2261641736106,26.191790677736893,DC,TX,35.0,13,0.0,Nan,0.0,0.0,25.68374401773664
"Tarrant Dialysis Center, North Fort Worth",-97.37648956658528,32.7908479610754,DC,TX,204.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Valley Dialysis Of Mcallen,-98.22189710046742,26.183441292832605,DC,TX,41.0,13,0.0,Nan,0.0,12.942125254743535,25.574886440927525
DaVita Fredricksburg,-98.8836610284494,30.2640165148594,DC,TX,540.0,10,0.0,Nan,0.0,34.976349216711704,4.94234661786082
Amarillo High Plains Dialysis Center,-101.902804319233,35.206962631427004,DC,TX,874.0,13,3500.23,AE,0.0,16.86054534305476,0.0
Fresenius Mckinney,-96.62927233389108,33.2146265683827,DC,TX,201.0,13,624.24,AE,0.0,7.880313057883066,3.2107927217826213
Cook Childrens Medical Center Dialysis Unit,-97.3419613094237,32.7364896914129,DC,TX,197.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
"Amarillo Kidney Specialists, Llc",-101.92031999999999,35.1813600939229,DC,TX,814.0,13,3477.42,AE,0.0,10.074842004227447,0.0
Metro East Dialysis Center,-96.6205129436781,32.7777525797796,DC,TX,143.0,13,508.55,AE,0.0,7.0611072497520135,3.9596237595293866
Crown Of Texas Kidney Center,-101.938126410641,35.1741051931732,DC,TX,807.0,13,3477.42,AE,0.0,0.0,0.0
Ft Worth Dialysis Assoc Inc,-97.36993659507168,32.7495874504587,DC,TX,193.0,13,617.07,X,0.0,0.0,2.59967375501191
Midland Dialysis Center,-102.08965880170601,32.0279461826389,DC,TX,842.0,13,0.0,Nan,0.0,17.451805087042892,3.446866473449578
Bay Area Dialysis Srvcs,-97.1488990375387,27.898432001904503,DC,TX,13.0,13,49.5,Nan,15.302884089710894,16.493001618101662,66.16195984640403
Ft Worth Dialysis Assoc Inc,-97.19606619173,32.764297850683796,DC,TX,172.0,13,617.07,X,0.0,9.451046546328355,3.248863645130504
Permian Basin Dialysis Center,-102.129479505712,31.9885069187484,DC,TX,866.0,13,0.0,Nan,0.0,0.0,2.830868094122882
